date,Brightness,roomname,Humidity,SetpointHistory,Temperature
2017-05-01 04:00:00,0.0,Kitchen,51.0,21.0,18.11
2017-05-01 07:30:00,0.0,Kitchen,49.0,16.0,19.37
2017-05-01 15:40:00,233.47,Kitchen,50.0,21.0,18.43
2017-05-01 21:30:00,0.0,Kitchen,50.0,16.0,19.21
2017-05-02 01:30:00,0.0,Kitchen,51.0,16.0,18.27
2017-05-02 04:00:00,0.0,Kitchen,51.0,21.0,17.95
2017-05-02 07:30:00,10.99,Kitchen,51.0,16.0,19.37
2017-05-02 15:20:00,198.68,Kitchen,51.0,21.0,17.95
2017-05-02 21:30:00,0.0,Kitchen,53.0,16.0,19.37
2017-05-03 04:00:00,0.0,Kitchen,53.0,21.0,17.95
2017-05-03 07:30:00,24.72,Kitchen,56.0,16.0,19.37
2017-05-03 15:20:00,164.8,Kitchen,53.0,21.0,18.11
2017-05-03 21:30:00,0.0,Kitchen,59.0,16.0,19.37
2017-05-04 01:20:00,0.0,Kitchen,58.0,16.0,18.43
2017-05-04 04:00:00,0.0,Kitchen,57.0,21.0,18.11
